Movie Title,Movie Codec,File Size,Folder Name,Multiple Movie Files? (Y/N),Additional Movie Files
Star Trek V - The Final Frontier (1989) Bluray-1080p Proper.mkv,AVC,9389952914,Star Trek V - The Final Frontier (1989),N,
Cloudy.with.a.Chance.of.Meatballs.720p.BluRay.x264.YIFY.mp4,AVC,577754084,Cloudy with a Chance of Meatballs,Y,Cloudy with a Chance of Meatballs (2009) Bluray-1080p.mkv
Cloudy with a Chance of Meatballs (2009) Bluray-1080p.mkv,AVC,7568750517,Cloudy with a Chance of Meatballs,Y,Cloudy.with.a.Chance.of.Meatballs.720p.BluRay.x264.YIFY.mp4
Rush Hour 3 (2007) Bluray-1080p.mp4,HEVC,1517963740,Rush Hour 3,N,
The Waterboy (1998) Bluray-1080p.mp4,HEVC,1500161958,The Waterboy,N,
The Waterboy.m2ts,AVC,4292192256,The Waterboy,N,The Waterboy (1998) Bluray-1080p.mp4
Zack and Miri Make a Porno (2008) Bluray-1080p.mp4,HEVC,1694800560,Zach and Miri Make a Porno,Y,Zach and Miri Make a Porno.avi
Zach and Miri Make a Porno.avi,MPEG-4 Visual,734652416,Zach and Miri Make a Porno,Y,Zack and Miri Make a Porno (2008) Bluray-1080p.mp4
Return of the Jedi (1983) Bluray-1080p.mp4,HEVC,2398091425,Return of the Jedi (1983),N,
The Empire Strikes Back (1980) Bluray-1080p.mp4,HEVC,2098748995,The Empire Strikes Back (1980),N,
arw-youthir-dvdrip-xvid.avi,MPEG-4 Visual,731009024,Youth In Revolt,N,
Clash of the Titans (2010) Bluray-1080p.mp4,HEVC,1775845085,Clash of the Titans (2010),N,
2006 - Leroy & Stitch.avi,MPEG-4 Visual,700789486,Leroy & Stitch,N,
Maleficent Mistress of Evil (2019) Bluray-1080p.mkv,AVC,5528235171,Maleficent Mistress of Evil (2019),N,
Gulliver's Travels (2010) Bluray-1080p.mp4,AVC,4294216667,Gulliver's Travels,Y,Gulliver's Travels.avi
Gulliver's Travels.avi,MPEG-4 Visual,736177932,Gulliver's Travels,Y,Gulliver's Travels (2010) Bluray-1080p.mp4
Scary Movie 4 (2006) Bluray-1080p.mkv,AVC,8533356609,Scary Movie 4 (2006),N,
Up.2009.1080p.Bluray.DTS.x264-SHiTSoNy.mkv,AVC,8530409718,Up (2009),N,
el dorado.avi,MPEG-4 Visual,957596646,Road to El Dorado,N,
Snatched (2017) Bluray-1080p.mp4,AVC,4289216194,Snatched (2017),N,
done-hangover-xvid.avi,MPEG-4 Visual,733929472,The Hangover (2009),Y,The Hangover (2009) Bluray-1080p.mkv
The Hangover (2009) Bluray-1080p.mkv,AVC,4404854104,The Hangover (2009),Y,done-hangover-xvid.avi
